Original,Altered,pHash,dHash,SSIM,ORB
board.jpg,board-b&w.jpg,1.0,0.953125,0.9603158918991127,0.994475138121547
cat.jpg,cat-1degree.jpg,0.875,0.96875,0.35861407027628434,0.9758308157099698
cat.jpg,cat-blurred.jpg,0.96875,1.0,0.48573556548753255,0.6666666666666666
dog.jpg,dog-10degrees.jpg,0.625,0.8125,0.47812090739742097,0.7474747474747475
girlshop.jpg,girlshop-10degree.jpg,0.71875,0.8125,0.3692255509488603,0.988929889298893
girlshop.jpg,girlshop-17degrees.jpg,0.65625,0.703125,0.33230323860395994,0.9598393574297188
girlshop.jpg,girlshop-1degree.jpg,0.9375,0.9375,0.5351999833142932,1.0
girlshop.jpg,girlshop-b&w.jpg,0.96875,0.96875,0.9467071403126097,0.9705882352941176
girlshop.jpg,girlshop-resized.jpg,0.5625,0.625,0.2309632433032127,0.9306930693069307
girlshop.jpg,girlshop-rotated.jpg,0.53125,0.5,0.32588610623616693,1.0
girlshop.jpg,girlshop-vintage.jpg,0.875,0.90625,0.8091453242032286,0.9968354430379747
tree.jpg,tree-contrasted.jpg,0.9375,0.953125,0.9123467389644,0.9636871508379888
